FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR,StrideCountPerFrameFR,StrideCountPerFrameFL,StrideCountPerFrameBR,StrideCountPerFrameBL
1715\1715_20260305_2026-03-05-140706-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-1.00035056975672,0.134316291407753,0.212504920974885,0.15704642765934,0.107313271847073,0.213891424388621,0.147034387016705,0.233339172330168,0.498516138659419,0.192841008878615,0.263081016914722,0.434588426753072,0.15377035791917,-0.0194816182415029,-0.00876091937221363,57.4348751927504,67.963259717429,-1.22935952085931e-06,0.00537527442234374,0.52657736999389,0.0491505287816166,0.527643095299131,0.0273543627465802,0.030166251290402,0.0171607268580709,0.0238729769304198
1715\1715_20260306_2026-03-06-123843-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.97550087796598,0.150185457058835,0.215188236988326,0.171429790890256,0.10799506960617,0.208869078941505,0.144653293987994,0.236960846173909,0.459915659341891,0.214186946061484,0.284078426949391,0.388209849528804,0.146495952984545,-0.0258186205965247,-0.00554492736294611,57.5172880336741,67.0555221487272,3.62947739960998e-07,0.00689005989154371,0.518818561420533,0.0487505796590619,0.520552784797549,0.0270244537983564,0.0294297454399679,0.0174433754259371,0.0239827620765685
1715\1715_20260303_2026-03-03-133957-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.0962119087514155,0.0826918645715835,0.250199141132628,0.163755901568134,0.116254142098244,0.241018863811972,0.193822558963301,0.382701643404645,0.260070794262134,0.169340702581609,0.140153985081801,0.494755230944536,0.216113404739103,0.00837466460687862,0.0107618319821192,56.5315315315315,57.1405589262732,-2.64566057336222e-06,0.00186598958440756,0.534232902688923,0.0186046456151397,0.531413750635368,0.00566674546266383,0.00613295511254695,0.017545242035038,0.00470149449741286
1715\1715_20260302_2026-03-02-141323-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.0790070948147505,0.104008886287713,0.194335481277877,0.233531980895816,0.152620542187808,0.172168567371015,0.284257755386278,0.395046514577408,0.161475512471509,0.206610439617512,0.215807519537576,0.165310974916467,0.325748812696945,0.00419798008370243,0.0162605242255758,57.5765090833716,58.2516545505693,1.8019143953773e-07,0.00231651636481007,0.530303663260231,0.0663707419601112,0.524400152466197,0.00784708547400838,0.00892050754356613,0.0239336106957256,0.00921662397654758
1715\1715_20260304_2026-03-04-131724-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.36991615144946,0.112742794929192,0.227295645987736,0.124134510082208,0.143472527570273,0.220829025659826,0.158667156145463,0.235614334623986,0.54720978713212,0.171280860546299,0.2332465193542,0.494298683251335,0.183397559012603,0.0116360034168646,-0.00372183340750032,57.2623539760443,60.9638197647175,2.46569474454251e-07,0.00259986260925831,0.532113840294186,0.0129435232160032,0.541933104402144,0.010539209641486,0.0110900107693952,0.00633010251477709,0.00827023783099448
1715\1715_20260312_2026-03-12-184551-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,60 DPI,-0.449320790170595,0.149550418370808,0.185998323456066,0.142156663414675,0.192585667869633,0.141058343216403,0.184654292251853,0.277282776759951,0.291498721216077,0.119346056822632,0.24985377383335,0.319415217365446,0.195914226584409,-0.00104511409162163,0.00587278587692575,60.6056493085403,63.7488877829556,-5.59521452028036e-07,0.00164487828061972,0.529990405389621,0.0297078299429367,0.530977585836812,0.0156313622585169,0.0141308118053356,0.0162270581670663,0.0117027854439066
1716\1716_20260302_2026-03-02-144302-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-0.184763964714464,0.108593304574843,0.277900183785003,0.191604067669774,0.150762793440509,0.29387471186268,0.17137427390655,0.21328476636935,0.481115442146797,0.219626810604621,0.182445741872741,0.469739518836298,0.190262487244676,-0.00149390093337949,-0.0120333528555816,56.463272661364,57.7288792532538,-6.16873932105333e-07,0.00204142996078379,0.526809758064288,0.0176558462857557,0.528563022165334,0.0086511582513646,0.00886029181102692,0.00636463133238991,0.00865812937002001
1716\1716_20260303_2026-03-03-140644-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-0.718035094892689,0.120087711380747,0.285684481700635,0.137817205727442,0.125616522551358,0.286649079466297,0.14623083596668,0.247887652424475,0.543898591334485,0.16935480403787,0.216438306962658,0.515200096578727,0.156284124650947,-0.00609240738132131,-0.00837357389227912,58.9748560035445,65.2310866194063,-2.77690338406915e-06,0.00302441645351209,0.519871818694021,0.0318637959953688,0.510206721490572,0.0218902303943288,0.0228525143996455,0.0119420137350465,0.0134719760744351
1716\1716_20260304_2026-03-04-133836-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-1.35676499948911,0.139410962851538,0.290253695429317,0.13424763357455,0.14808233554368,0.289126762759657,0.161412647416886,0.230427502461177,0.488958625580614,0.128585362924114,0.20876751214804,0.46907150744131,0.166401233117321,-0.00654389270447127,-0.00950760370308674,61.0214123232123,69.2628490422972,7.50161706517843e-07,0.00575434644860247,0.514435722714891,0.0692550927104094,0.496417218981337,0.0304536313585864,0.0313272673326081,0.0206623149704942,0.0228628886031715
1716\1716_20260305_2026-03-05-144641-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-2.57752458392844,0.115774028440926,0.24121382804101,0.133794264789598,0.162460847719359,0.237328524754243,0.156984633784331,0.251297130920787,0.378527724254947,0.0756713642179377,0.155702515683954,0.350838464465911,0.154632982589965,-0.00163538565715672,-0.019380285963515,58.6609806184702,69.1653051129465,-2.668946641511e-06,0.0102125234745562,0.508714911750848,0.190283148204472,0.49579542118056,0.0624615891955091,0.0506198192256382,0.0384108044908788,0.0529207200995308
