FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR
1715\1715_20260305_2026-03-05-140706-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,1.306565497,0.0457871330341688,0.212027655509618,0.118378523158886,0.0415254442480362,0.2109102258877,0.11070093590727,0.0496572826347291,0.559272819739183,0.0986410114518466,0.0330514197927472,0.55955792585073,0.0896180066633525,-0.019481618,-0.008760919,57.43487519,56.31595088,-1.23e-06,0.00537527442252244,0.52657737,0.0491505287879933,0.527643095
1715\1715_20260306_2026-03-06-123843-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,1.284917286,0.0501033727199884,0.214032415091118,0.113375919204454,0.0393304731415448,0.212326501815663,0.100958832386802,0.0497880965469261,0.512005477572889,0.0956695929937138,0.0351953114908954,0.518376584252689,0.0822162389136885,-0.025818621,-0.005544927,57.51728803,56.032271,3.62947739960998e-07,0.00689005989180375,0.518818561,0.0487505796662081,0.520552785
1715\1715_20260303_2026-03-03-133957-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,0.226115982,0.00485562344457299,0.173954980589654,0.163223999230583,0.00649162195359865,0.174307920125595,0.165487896539271,0.0540125954629425,0.302369787041814,0.168359191159069,0.00375674034059378,0.30059743234791,0.185026093835294,0.008374665,0.010761832,56.53153153,57.00496415,-2.65e-06,0.00186598958508738,0.534232903,0.0186046456157469,0.531413751
1715\1715_20260302_2026-03-02-141323-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,0.309204141,0.00763508683549329,0.15260197332723,0.274819988566066,0.0115505779359173,0.152858535045731,0.279964761281106,0.07021650635171,0.138095335888136,0.291536037113077,0.00880823224415682,0.135283040547708,0.308280503646547,0.00419798,0.016260524,57.57650908,57.81821412,1.8019143953773e-07,0.00231651636407193,0.530303663,0.0663707419667095,0.524400152
1715\1715_20260304_2026-03-04-131724-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,0.545313288,0.0125910065805442,0.191507934151889,0.0593949019748826,0.0157619482360867,0.191148062973971,0.0646596052162706,0.014950356959159,0.594251036985849,0.0871731885743944,0.00924839432422796,0.592914770124679,0.0876396251191109,0.011636003,-0.003721833,57.26235398,57.92865892,2.46569474454251e-07,0.00259986260935511,0.53211384,0.0129435232157997,0.541933104
1715\1715_20260312_2026-03-12-184551-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,60 DPI,0.6131183,0.0205951059245165,0.149570662145598,0.105551874385098,0.0229641323427102,0.1450394700919,0.113169515915175,0.0369850903856844,0.339755136526297,0.109892298796733,0.0133049811519082,0.343495893535222,0.118309894878091,-0.001045114,0.005872786,60.60564931,60.54230949,-5.6e-07,0.00164487828046115,0.529990405,0.0297078299531171,0.530977586
1716\1716_20260302_2026-03-02-144302-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,0.361187203,0.00859957862554213,0.251886324457256,0.142151042493758,0.0115105207811504,0.252001422744383,0.143439228205917,0.012095216759352,0.62260605241276,0.121821205789949,0.00767306493444259,0.624762677413895,0.12181126493868,-0.001493901,-0.012033353,56.46327266,56.37892213,-6.17e-07,0.00204142996171165,0.526809758,0.0176558462854067,0.528563022
1716\1716_20260303_2026-03-03-140644-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,0.989078059,0.031121823185837,0.274391122891957,0.0997778709927834,0.0328813649720124,0.274974804804888,0.104525606955688,0.0352640203009485,0.555167257791598,0.113265246650347,0.0193431894439452,0.554320181250257,0.111023372677645,-0.006092407,-0.008373574,58.974856,58.61555716,-2.78e-06,0.00302441645267211,0.519871819,0.0318637960056089,0.510206721
1716\1716_20260304_2026-03-04-133836-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,1.733908746,0.0596265036830673,0.289101669066098,0.100729179140363,0.0636354438390675,0.288171302975399,0.11502547553617,0.0697263092829633,0.495222015159245,0.106581802479335,0.0357211176921779,0.489170817143215,0.105855552264763,-0.006543893,-0.009507604,61.02141232,60.62209475,7.50161706517843e-07,0.0057543464493992,0.514435723,0.0692550927143917,0.496417219
1716\1716_20260305_2026-03-05-144641-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,3.274239427,0.114642216824535,0.241912340370717,0.116922175418718,0.155017711851213,0.236063641565438,0.139792413552497,0.198170484406629,0.388751054998078,0.0833301682204655,0.0894599853937164,0.367059862771205,0.128168306628492,-0.001635386,-0.019380286,58.66098062,58.56504729,-2.67e-06,0.0102125234755739,0.508714912,0.190283148195311,0.495795421
1716\1716_20260306_2026-03-06-131506-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,1.69007291,0.0518088743911018,0.231170766466984,0.089108494462111,0.063305630853291,0.229678787070784,0.10770375386684,0.0649312914483192,0.496502467049752,0.0880368275382887,0.032609941029118,0.484065569776228,0.0951095843581805,0.007082663,-0.018487618,60.80542067,61.23608496,9.75139285543335e-07,0.00619476654581763,0.522479603,0.0640046016161652,0.475396073
1716\1716_20260313_2026-03-13-151617-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,60 DPI,0.59642346,0.0143284744522759,0.186736561328123,0.12456699174109,0.0197409360424312,0.18497456300092,0.132993880160586,0.0357061649856466,0.410958795495785,0.172537367738213,0.0130366114095643,0.405841021683459,0.169323516535656,0.029064715,0.03501742,58.32638717,60.02162698,1.1049545533554e-06,0.00143913452623964,0.530941747,0.0241648788819234,0.502350677
1777\1777_20260413_2026-04-13-140813-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,Training video,0.492958832,0.00946239033848967,0.219429173873065,0.0846142958013391,0.0113697915042062,0.218247352830852,0.087644062317275,0.0109898788928066,0.532764179251894,0.0738306402129257,0.00728097387802388,0.531698307687855,0.0758808313028673,0.014869326,-0.008925374,57.02005506,57.86790485,-9.8e-07,0.00109641802136121,0.528283586,0.0123912236956357,0.526246486
1777\1777_20260414_2026-04-14-144132-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,Training video,0.36680195,0.00706386649543601,0.231997042512082,0.0631080421174559,0.00736500265658459,0.232082551379462,0.0622380785181761,0.00754298873498857,0.553964858294881,0.0590070891258901,0.00537188181516906,0.554189382204404,0.0598031550822875,0.007927312,-0.00963177,57.47031737,57.92590252,-2.12e-06,0.000909040725167229,0.530143256,0.00795768023350102,0.529676431
1777\1777_20260415_2026-04-15-144353-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,Training video,0.549200225,0.01048487624285,0.216869890071647,0.0762656837202362,0.0131382363638713,0.216639052806227,0.0784257523290435,0.0134617966951694,0.577766032405175,0.101345858727196,0.00913460718712629,0.576267979145712,0.0997782423175356,0.030119466,-0.008831187,58.35339177,60.11096477,-3.32e-07,0.00134831997863512,0.536246616,0.00973931963822688,0.53746186
